question,expected_answer,category
"How many family offices do we have?","100 family offices","sfo_count"
"How many clients are there?","45 clients (stage = client)","sfo_count"
"How many leads do we have?","37 leads","sfo_count"
"How many family offices are in onboarding?","18 family offices are onboarding","sfo_count"
"How many family offices have AUM over $1 billion?","41 family offices have AUM over $1bn","sfo_count"
"How many family offices have AUM over $2 billion?","28 family offices have AUM over $2bn","sfo_count"
"How many families span three or more generations?","50 family offices have 3+ generations","sfo_count"
"How many family offices are domiciled in Jersey?","7 family offices are domiciled in Jersey (JE)","sfo_count"
"How many family offices are domiciled in the Cayman Islands?","5 family offices are domiciled in Cayman (KY)","sfo_count"
"How many family offices already hold trusts?","74 family offices hold trust services","service_holding"
"How many family offices use JTC Edge?","25 family offices hold the Edge reporting platform","service_holding"
"What is the total AUM across the whole book?","Total AUM is about $128.4 billion","aum"
"What is the average AUM per family office?","Average AUM is about $1.28 billion","aum"
"What is the largest AUM of any family office?","The largest AUM is about $4.93 billion","aum"
"Which family office has the highest AUM?","Boyd Family Office, with about $4.93 billion AUM","lookup"
"What are the top three family offices by AUM?","Boyd Family Office (~$4.93B), Edwards Family Office (~$4.27B), Paul Family Office (~$4.21B)","lookup"
"What is the average private equity allocation across the book?","About 23.6% average private-equity allocation","allocation"
"What is the average real estate allocation across the book?","About 15.8% average real-estate allocation","allocation"
"How many services are in the JTC catalogue?","11 services","services"
"How many premium-tier services are there?","5 premium-tier services","services"
"How many recommendations are there in total?","563 recommendations","funnel"
"How many recommendations have been accepted?","57 recommendations are accepted","funnel"
"How many recommendations are booked?","44 recommendations are booked","funnel"
"How many recommendations are still just suggested?","282 recommendations are suggested","funnel"
"How many recommendations were declined?","29 recommendations were declined","funnel"
"How many cross-sell vs upsell recommendations are there?","428 cross-sell and 135 upsell recommendations","funnel"
"What is the total pipeline value of accepted and booked recommendations?","About $153.8 million in accepted/booked pipeline value","pipeline"
"Which service is recommended most often?","JTC Edge Reporting Platform, recommended 71 times","pipeline"
"What are the top three most-recommended services?","JTC Edge Reporting Platform (71), Family Governance Framework (68), Banking & Treasury Services (66)","pipeline"
"How many family members are recorded across all families?","283 family members","members"
"How many next actions are scheduled?","168 next actions","actions"
"How many open next actions are there?","168 open next actions","actions"
"How many documents have been uploaded?","64 documents","documents"
